@timestamp,@logStream,ExecutionTime
2026-08-16 10:19:52.074,ecs/fargate-etl-container/eabfb56054244f2180250827f6df5c96,20.2051
2026-08-16 10:19:52.040,ecs/fargate-etl-container/6340eaee11134ba9ae5022c217a30f7d,19.6119
2026-08-16 10:19:51.508,ecs/fargate-etl-container/336fa215bf664b2cbe82dc6363590622,19.2004
2026-08-16 10:19:51.164,ecs/fargate-etl-container/4954ee6bec7d42abae38ad2336a0ac02,19.5286
2026-08-16 10:19:51.133,ecs/fargate-etl-container/ec3c121c68f24e2fb902a346af83aadc,19.9464
2026-08-16 10:19:50.603,ecs/fargate-etl-container/de0e470edf754167ae829f85d5a7d7cd,19.6352
2026-08-16 10:19:50.439,ecs/fargate-etl-container/a4c00a4ebf88473d8f243fd5f4f7e8dd,20.2859
2026-08-16 10:19:50.434,ecs/fargate-etl-container/ba7e57b3a7614ee0ae352a5c5e554ccf,20.0079
2026-08-16 10:19:50.431,ecs/fargate-etl-container/1245b8d6fb024f96a9849f9a07ce8629,19.0182
2026-08-16 10:19:50.253,ecs/fargate-etl-container/931b0210443a4d4d8b191e96afdafe9e,20.0940
2026-08-16 10:19:50.172,ecs/fargate-etl-container/a63eeccc31094b19a92d379da566ea69,20.2296
2026-08-16 10:19:50.020,ecs/fargate-etl-container/8eb6ba7e21944ed2b7f6f5716a0cc0fa,19.8535
2026-08-16 10:19:49.856,ecs/fargate-etl-container/d7e5b891c4f0467888f8be712e96e36a,19.5937
2026-08-16 10:19:49.830,ecs/fargate-etl-container/ccd21c44a8e44e8ca2210612b7f1e715,19.5418
2026-08-16 10:19:49.806,ecs/fargate-etl-container/47fa524413654bbeade52e82d7106fc9,20.0898
2026-08-16 10:19:49.577,ecs/fargate-etl-container/b6aa70006ec44ea9a5d5c426da017efe,19.6889
2026-08-16 10:19:49.549,ecs/fargate-etl-container/65fccec3c71e461aaa66d398d32326ff,19.3891
2026-08-16 10:19:49.393,ecs/fargate-etl-container/5ced856373aa4f2dbb51b166511fc000,19.8037
2026-08-16 10:19:49.372,ecs/fargate-etl-container/379ad4a1697f41b1b9144035b8fd10c2,20.0401
2026-08-16 10:19:49.167,ecs/fargate-etl-container/08f132ba6a4c4d42878daee6eb36d212,19.3560
2026-08-16 10:19:49.145,ecs/fargate-etl-container/2b43234b0c8643eb9023bdb8ab53f5ab,19.1536
2026-08-16 10:19:48.925,ecs/fargate-etl-container/0fd7effa3fdb4567a56ae8e7f5356749,19.4548
2026-08-16 10:19:48.697,ecs/fargate-etl-container/55bacd8c11b44a5e88d7313da225915e,18.9905
2026-08-16 10:19:48.691,ecs/fargate-etl-container/1165bd3ef3cd4238a1bd8e1557620acb,19.0202
2026-08-16 10:19:48.539,ecs/fargate-etl-container/81d6dde0fce04f23a1577fbeb38c7dfb,19.1154
2026-08-16 10:19:41.315,ecs/fargate-etl-container/dd44d6c291214eaa9dd3ee2bc29f613d,11.7937
2026-08-16 10:19:40.839,ecs/fargate-etl-container/d7f5352a8a0a4c42bacf4ad844b066a2,11.6324
2026-08-16 10:19:40.538,ecs/fargate-etl-container/e88245e2c2764ea39190a3672be264e5,11.7749
2026-08-16 10:19:39.091,ecs/fargate-etl-container/4875ffef28394e919e0f790654cb83e8,11.6504
2026-08-16 10:19:38.975,ecs/fargate-etl-container/0978d9c2fe5346789ff040359f8066ef,11.7584
2026-08-16 10:19:38.826,ecs/fargate-etl-container/0745abae78b14f64a8ca9b5323bc1e34,11.4740
2026-08-16 10:19:38.777,ecs/fargate-etl-container/3370cb3e8448446f8f9d6ecc453b1b76,11.5952
2026-08-16 10:19:38.682,ecs/fargate-etl-container/956a47dbf65840cb8477fcd14712ec63,11.4027
2026-08-16 10:19:38.647,ecs/fargate-etl-container/976699a1eb1b4f799e5c3c3bf67bb04f,11.6484
2026-08-16 10:19:38.592,ecs/fargate-etl-container/9643669f4de14736b6dc82a10e05baa3,11.5457
2026-08-16 10:19:38.585,ecs/fargate-etl-container/1a0a84ef5a604f1a8ca7429e93b49501,11.4350
2026-08-16 10:19:38.572,ecs/fargate-etl-container/d7f502aa68e24193b19af682bcc46cbf,11.5629
2026-08-16 10:19:36.326,ecs/fargate-etl-container/e9b81a63d3a94d1486762dd4d746f127,9.6297
2026-08-16 10:19:35.768,ecs/fargate-etl-container/9e279f1f919146028208c766ef6b0e5f,9.3201
2026-08-16 10:19:35.650,ecs/fargate-etl-container/8ca8d47650484473b83a06195718a70c,9.6384
2026-08-16 10:18:57.685,ecs/fargate-etl-container/4a8aa929f0e64eb685ba98ee8de5c9c2,19.6755
2026-08-16 10:18:56.834,ecs/fargate-etl-container/87f16610e0bf45ac843c1a66ec46ee3f,19.5306
2026-08-16 10:18:56.822,ecs/fargate-etl-container/1fb774c6956f40a887a63659ee46168b,19.0390
2026-08-16 10:18:56.518,ecs/fargate-etl-container/6bce000951be404b915dfbac765c5c9a,18.9489
2026-08-16 10:18:56.463,ecs/fargate-etl-container/a7c05e9cc45b48c6b5dd4eaa5f9d4815,19.1407
2026-08-16 10:18:56.400,ecs/fargate-etl-container/8835a5a7454741358562638f356bd3b0,18.6307
2026-08-16 10:18:56.126,ecs/fargate-etl-container/b5c525e296a74b5daca711c7c14bd663,19.0566
2026-08-16 10:18:47.028,ecs/fargate-etl-container/49b342354c2c47dbaff372dbe7410e8b,12.0322
2026-08-16 10:18:46.917,ecs/fargate-etl-container/ce9763bf75224e3da768ff3a9001cd53,12.0581
2026-08-16 10:18:46.691,ecs/fargate-etl-container/15e5961c8cdf44e8a1da6dfd4a8ec2bf,12.1299
2026-08-16 10:18:46.430,ecs/fargate-etl-container/abde2addbebf4f229cce1abc3af637fa,11.9928
2026-08-16 10:18:46.407,ecs/fargate-etl-container/c16fc74d69604b5781e97450fb2b19e8,11.9169
2026-08-16 10:18:44.830,ecs/fargate-etl-container/80472238d6384871bd3134eec853ed07,10.4748
2026-08-16 10:18:43.319,ecs/fargate-etl-container/45faded1d66f4edb8ca4af2fece6175b,9.6535
2026-08-16 10:18:16.648,ecs/fargate-etl-container/dfa5605f5f8249b1930b76ea08090304,19.8988
2026-08-16 10:18:15.456,ecs/fargate-etl-container/3931ebd760bc4ed690e56cd09e14a4ee,19.8652
2026-08-16 10:18:15.441,ecs/fargate-etl-container/84fd47ec12314092960a93b3738aeaf3,19.9619
2026-08-16 10:18:15.318,ecs/fargate-etl-container/b51762f1c06f41c5aae3e197c22aa621,19.7149
2026-08-16 10:18:15.190,ecs/fargate-etl-container/767663be9e654e6b925e1c4a48071320,19.8770
